Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number ,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program ,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance ,Georeference
24-637SU-CR,1ST HEATING SOLUTIONS LLC,,LLC,No,No,,619 Oakside Rd,,Yorktown Heights,NY,10598,8456289900,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.80541 41.31946)
24-64YEH-CR,2017 ROCHESTER TOPSOIL & EXCAVATING LLC,,LLC,No,No,,5 SABLE CREEK LANE,,SPENCERPORT,NY,14559,5857374099,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.7954 43.23402)
24-64YI4-CR,20/20 Inspections Inc.,,Corporation,No,No,,3716 Fort Hamilton Parkway,,Brooklyn,NY,11218,7188542867,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.98949 40.64383)
24-64871-CR,212Carpet Installation Inc.,,Corporation,No,No,,2200 Marcus ave,,new hyde park,NY,11042,3476654498,12/30/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.69204 40.75825)
25-64PAU-CR,"212 RENOVATIONS GROUP, LLC",,Corporation,No,No,,284 Meserole Street,,Brooklyn,NY,11206,2123280136,01/13/2025,01/13/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.93703 40.70865)
25-64SX9-CR,"22nd Century Technologies, Inc.",22nd century technologies.inc,Corporation,No,No,,8251 Greensboro Dr. Suite 900,,McLean,VA,22102,7033496630,02/07/2025,02/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.23009 38.92197)
25-64I81-CR,2BQ CORP.,,Corporation,No,No,,2415 83rd street #2,,Brooklyn,NY,11214,3323450294,02/04/2025,02/04/2027,Active,No,Other,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.98713 40.60069)
24-64D7K-CR,2 Saab Construction Inc.,,Corporation,Yes,No,,3084 Coney Island Ave,,BROOKLYN,NY,11235,2129207620,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.95986 40.58091)
24-639ZX-CR,2XPC CORP.,THOSE GUYS CONTRACTING,Corporation,No,No,,P.O. BOX 11,,IRVINGTON,NY,10533,9145899688,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64C38-CR,"317 Sayay Interior Services, LLC",,LLC,No,No,,59 Gates Ave,,Brentwood,NY,11717,6317203351,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.22771 40.79544)
25-64Q6Y-CR,"3343 BAILEY LOCK & ALARM SUPPLY, INC.",Suburban Lock & Door,Corporation,No,No,,3122 Delaware Ave,,Kenmore,NY,14217,7168767735,01/15/2025,01/15/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.87117 42.96963)
25-64TBC-CR,"34ED, LLC",CENTEGIX,LLC,No,No,,2120 Powers Ferry Road SE,Suite 110,ATLANTA,GA,30339,8009509202,01/22/2025,01/22/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-84.45071 33.90077)
24-63656-CR,360 Land Survey D. P. C.,,Corporation,No,No,,2368 Maryland Avenue,,Niagara Falls,NY,14305,7165878380,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-79.03347 43.12557)
25-64AX6-CR,3 ANGLES INCORPORATED,3 Angles,Corporation,No,No,,2 Access Rd,,Albany,NY,12208,6179534707,02/13/2025,02/13/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.85457 42.72757)
24-64DEG-CR,3C Drilling LLC,,LLC,No,No,,807 N West End Blvd,,Quakertown,PA,18951,2153484294,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.36966 40.46495)
24-648UB-CR,"3L & Company, Inc.",,Corporation,Yes,No,,355 Michele Place,,Carlstadt,NJ,07072,2015805080,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.06233 40.8165)
24-64YIU-CR,"3RDI Technologies, LLC",,LLC,Yes,No,,3418 Northern Blvd,Ste 304,Long Island City,NY,11101,3476707233,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.92919 40.75203)
24-64EYE-CR,"3rd ROC Solar, LLC",,LLC,No,No,,101 Sullys Trail,,Pittsford,NY,14534,5852180631,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.4678 43.06027)
25-64XBR-CR,400 East Corp.,,Corporation,No,No,,322 Eighth Ave.,#701,New York,NY,10001,2128887311,01/15/2025,01/15/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.99696 40.74738)
25-64XIU-CR,4A CONSTRUCTION CORP.,,Corporation,Yes,No,,128 lAND LANE,,WESTBURRY,NY,11590,3477065524,01/17/2025,01/17/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.55674 40.74564)
25-64CGQ-CR,4F Flooring LLC,TPL Flooring,LLC,No,No,,1220 Rotterdam Industrial Park,,Schenectady,NY,12306,5183564315,01/08/2025,01/08/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.98605 42.77994)
24-636KZ-CR,4Holders LLC,4Holders Construction,LLC,Yes,No,,36 New Hyde Park Road,,Franklin Square,NY,11010,5163055748,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.67527 40.70861)
25-64ZE1-CR,4Ts Premier Land Services Inc.,065750832,Corporation,No,No,,8 Eagle Circle,,Bohemia,NY,11716,6315594698,02/10/2025,02/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.13401 40.7511)
24-64RGY-CR,"50 States Engineering, Corp.",50 States Engineering Corp.,Corporation,Yes,No,,43 Moonachie Road,,Hackensack,NJ,07601,2015078283,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-74.03899 40.86208)
25-64X99-CR,"518 FREIGHT, LLC",,LLC,No,No,,9580 ROUTE 9W,,ATHENS,NY,12015,5183444109,01/17/2025,01/17/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.85466 42.28579)
24-64GSQ-CR,"56 Consulting, LLC",56 Consulting,LLC,No,No,,27 Carriage Road,,Clifton Park,NY,12065,5182751789,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.77657 42.80478)
24-6363R-CR,5 D Marketing and Consulting LLC,5 D Marketing and Consulting LLC,LLC,Yes,No,,2429 Northmont Drive,,Asheboro,NC,27205,6072182018,12/11/2024,12/29/2026,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,No,Yes,POINT (-79.8331 35.7474)
24-64N66-CR,5J's Electrical Contractors Corp.,,Corporation,Yes,No,,38-01 23 Avenue,Suite 311,Astoria,NY,11105,7182042474,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.90869 40.77141)
24-6331J-CR,"5 Trade, LLC",Adams Glass,LLC,No,No,,5 Trade Road,,Plattsburgh,NY,12901,5185617310,11/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.46984 44.71926)
25-64C6G-CR,6 Stars Property Management Inc,6 stars inc,Corporation,Yes,No,,61 parsells avenue,,rochester,NY,14609,5855000907,01/10/2025,01/10/2027,Active,Yes,,Yes,No,Yes,State Law,New York,11/14/2023,11/14/2024,Yes,Yes,Yes,Yes,Yes,Yes,No,POINT (-77.57754 43.16556)
25-64V6E-CR,700 Nano LLC,,LLC,Yes,No,,800 New Brunswick ave ste 5,,Rahway,NJ,07065,7327184875,01/08/2025,01/08/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,POINT (-74.28361 40.59943)
24-64GUX-CR,"716 Site Contracting, Inc.",,Corporation,No,No,,PO Box 120,,N. Boston,NY,14110,7163433404,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,
25-64PH1-CR,7 Ocean Group Inc.,,Corporation,Yes,No,,2351 White Oak Court,,East Elmhurst,NY,11370,7186990387,01/13/2025,01/13/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.89085 40.76509)
24-64Y9P-CR,"7 SEAS INFRATECH, CORP.",,Corporation,No,No,,11918 101ST AVE 235,,South Richmond Hill,NY,11419,9292188505,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.82523 40.69017)
24-64816-CR,82 Contracting Inc.,,Corporation,No,No,,13,Maybeck Drive,East Setauket,NY,11733,6317510440,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,
24-64DV8-CR,9 WEST CONSTRUCTION CORP.,,Corporation,No,No,,84 N. Rt. 9W,,Congers,NY,10920,8452687437,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.92719 41.15317)
25-64S3N-CR,"A-1 Construction & Painting, Inc.","A-1 Construction & Painting, Inc.",Corporation,No,No,,299 Kenmore Avenue,,Tonawanda,NY,14223,7168336943,02/07/2025,02/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.82892 42.95826)
24-64GA8-CR,"A-1 Land Care, Inc.",,Corporation,No,No,,1527 Ridge Road,,Lewiston,NY,14092,7167544999,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.97603 43.18101)
24-64D7H-CR,A1 Reliable Industries Corporation,,Corporation,No,No,,109 Nancy Street,,West Babylon,NY,11704,6313932662,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.37639 40.73984)
25-64K4P-CR,"A1 WORKS-IN-PROGRESS ASSOCIATES, LLC",Works in Progress Associates,LLC,Yes,No,,33 Rector Street,14th Floor,New York,NY,10006,9176802894,01/06/2025,01/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.01491 40.70839)
25-64C9O-CR,A2D Fine Finishes LLC,,LLC,No,No,,495 North Avenue,,Hilton,NY,14668,5853091791,01/10/2025,01/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.79406 43.3065)
24-634ZT-CR,AAA Advanced Solutions Corp.,Better Building Care,Corporation,No,No,,PO Box 16316,,Rochester,NY,14616,5859679735,12/02/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,
25-64AYY-CR,"AAA Carting & Rubbish Removal, Inc.",AAA Carting,Corporation,No,No,,3 Greentown road,,Buchanan,NY,10511,9147399527,02/12/2025,02/12/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.94032 41.26923)
25-64ZOL-CR,AAA COMPLETE CONTRACTOR LLC,,LLC,No,No,,20 Brick Court,Suite D,Staten Island,NY,10309,7186082290,02/11/2025,02/11/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.24149 40.53789)
25-64XI6-CR,AAA Electronic Services & Electrical Contracting Inc.,,Corporation,Yes,No,,218-10 Hillside Avenue,,Queens Village,NY,11427,7185264848,01/17/2025,01/17/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.74643 40.72864)
25-64QYP-CR,AAA Maintenance Solutions LLC,,LLC,Yes,No,,10740 Pinegrove Street,,Jamaica,NY,11435,3473789540,01/14/2025,01/14/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.80456 40.6896)
24-64JKG-CR,"AAA Metal & Glass, Inc.",,Corporation,No,No,,PO Box 1243,,Fair Lawn,NJ,07410,9736840030,12/31/2024,12/31/2026,Active,No,Out of State,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,
24-63HP3-CR,AAA Reinforcing LLC,,Sole Proprietorship,Yes,No,,6587 W Atlantic Ave,,Hudson,NY,12534,5188280359,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.75546 42.28451)
24-64FJX-CR,AAAS Electrical Contracting Corp,,Corporation,Yes,No,,11919 192nd Street,,Saint Albans,NY,11412,3477583541,12/21/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.75777 40.68893)
24-64G73-CR,"AAA Sound & Video, LLC",,LLC,No,No,,295 Mt. Read Blvd. Ste 5,,Rochester,NY,14611,5853251080,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.65951 43.15593)
24-637B6-CR,"Aabco Sheet Metal Co.,Inc.",,Corporation,No,No,,47-40 Metropolitan Ave,,Maspeth,NY,11385,7188211166,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.92324 40.71434)
24-636AX-CR,"AAC Contracting, LLC",Genesee Environmental,,Yes,No,,175 Humboldt St,,ROCHESTER,NY,14610,5857505535,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.56462 43.15196)
24-64YA8-CR,A.A.D. CONSTRUCTION CORP.,,Corporation,No,No,,141 DWIGHT STREET,,BROOKLYN,NY,11231,7184391400,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.01045 40.67484)
24-64E8K-CR,"AAD Contracting, Inc.",,Corporation,No,No,,PO BOX 14287,,Poland,OH,44514,3305076171,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-6396D-CR,AA Fencing LLC,,Corporation,No,No,,4538 Sweden Walker Road,,Brockport,NY,14420,5855034199,12/12/2024,12/29/2026,Active,Yes,,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.89975 43.1971)
24-64BKT-CR,AAH Construction Corp.,,Corporation,No,No,,"21-77 31st Street , suite 107",,Astoria,NY,11105,7182671300,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.9104 40.77637)
24-64G5P-CR,"Aakash Construction, Inc.",,Corporation,No,No,,8 Sherwood Circle,,Linden,NJ,07036,6462619513,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.27629 40.62941)
25-6414H-CR,"Aalco Septic & Sewer, Inc.",,Corporation,No,No,,2369 Huth Sayer Rd,,Oriskany Falls,NY,13425,3158435600,01/28/2025,01/28/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.51698 42.97749)
24-64DTS-CR,"AALCO TRANSPORT & STORAGE, INC.",,Corporation,No,No,,65 MARCUS DRIVE,,MELVILLE,NY,11747,6314209000,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.41388 40.75973)
25-64VC1-CR,"A & A Plumbing Systems, Inc.",,Corporation,Yes,No,,11503 FARMERS BLVD,STE 1,Saint Albans,NY,11412,7187839281,01/07/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.7616 40.69579)
25-64QTB-CR,AARCO CONTRACTING LLC,,LLP,No,No,,44 OLD field lane,,Great Neck,NY,11020,2122225507,01/14/2025,01/15/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.71445 40.76991)
24-6358N-CR,AARCO Environmental Services Corp.,,Corporation,No,No,,50 Gar Avee,,Lindenhurst,NY,11757,6315865900,12/03/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64DNJ-CR,"ABACUS SPORTS INSTALLATIONS, LTD.",,Corporation,No,No,,2330 Dairy Road,Dairy Road,Lancaster,NY,17601,7175608050,12/18/2024,12/29/2026,Active,No,Out of State,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.36421 40.08235)
24-64E8X-CR,ABADI CONSTRUCTION OF NY INC.,,Corporation,No,Yes,MEHERBAN KHUDADAD MASHRAQUI,"43-43 KISSENA BLVD, SUITE# 202",,FLUSHING,NY,11355,6467393283,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.82367 40.75462)
24-64Y5I-CR,ABA Innovative Builders Inc,,Corporation,No,No,,398 Cromwell Ave,,Staten Island,NY,10305,3474636492,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.08893 40.58651)
24-64FIQ-CR,"Abatech Industries, Inc.",,Corporation,No,No,,1623 East Second Street,,Scotch Plains,NY,07076,9083223000,12/23/2024,12/23/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-74.40058 40.6448)
25-64VZ1-CR,Abatek Corp.,,Corporation,No,No,,46-32 53rd Avenue,,Maspeth,NY,11378,7183264757,01/07/2025,01/07/2027,Active,Yes,,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.92028 40.73203)
24-64BHS-CR,"Abatement Unlimited, Inc.",,Corporation,No,No,,4332 Bullard Avenue,,Bronx,NY,10466,7189941374,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.85979 40.89839)
24-635D8-CR,"Abbey Services, Corp.",Abbey Services Corp.,Corporation,No,No,,163 West Arterial Highway,,Binghamton,NY,13901,6077223032,12/03/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.8894 42.15146)
24-64NBI-CR,"Abbott & Price, Incorporated",,Corporation,No,No,,5 Schuman Road,,Millwood,NY,10546,9149444916,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-73.7968 41.18887)
24-63773-CR,ABC Construction Contracting Inc.,,Corporation,No,No,,36-16 19th Avenue,,Astoria,NY,11105,7187292501,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.90118 40.7795)
24-64G58-CR,ABC CONSTRUCTION SOLUTIONS INC.,,Corporation,No,No,,340 LAKE SHORE DRIVE,,MONROE,NY,10950,8459776000,12/26/2024,12/29/2026,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,No,Yes,POINT (-74.18785 41.37365)
24-637XI-CR,ABC CONTRACTING CO. INC.,,Corporation,No,No,,22 QUEBEC DRIVE,,HUNTINGTON STATION,NY,11746,6318815794,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.40274 40.82483)
25-64KH3-CR,A.B.C.D. Construction Corp.,ABCD Construction Corp,Corporation,No,No,,5702 3rd Avenue,,Brooklyn,NY,11220,7184393385,01/06/2025,01/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.01894 40.64378)
24-64YIL-CR,"ABC & NY CONSTRUCTION, INC.",,Corporation,No,No,,2123 Mill Ave.,,Brooklyn,NY,11234,7189650207,12/13/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91347 40.61505)
24-63ZET-CR,"A B CONSTRUCTION & ROOFING, INC.","A B CONSTRUCTION & ROOFING, INC.",Corporation,No,No,,2586 Main St.,,Whitney Point,NY,13862,6076922858,11/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.97196 42.32913)
25-64KFH-CR,ABCO-Peerless Sprinkler Corp.,,Corporation,No,No,,50 Midland Avenue,,Hicksville,NY,11801,5167056707,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.51867 40.77662)
24-64F6T-CR,"Abdoo Security & Automation, Inc.",,Corporation,No,No,,316 Richardson Ave,,Utica,NY,13502,3155276654,12/23/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.28799 43.08144)
24-639EC-CR,"ABEC ELECTRICAL, CORP.",,Corporation,Yes,No,,17 State Street,Suite 4000,New York,NY,10004,9178051246,12/11/2024,12/29/2026,Active,No,Sole Proprietor,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.01431 40.70284)
24-636A8-CR,"ABE Fran, LLC",All Bright Electric,LLC,No,No,,100 Snake Hill Road,,West Nyack,NY,10994,8453581200,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.95943 41.10173)
24-636R8-CR,A & B HERITAGE INCORPORATED,ASI Signage Innovations,Corporation,Yes,No,,2957 Alt Boulevard,,Grand Island,NY,14072,7167750104,12/10/2024,12/29/2026,Active,No,Other,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.98609 43.04187)
24-64NKN-CR,"A & B INSPECTION SERVICES, CORP.","A & B INSPECTION SERVICES, CORP.",Corporation,Yes,No,,543 Beach 68th Street,P.O. Box 920374,Arverne,NY,11692,5168496961,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.79749 40.59606)
25-641ES-CR,"ABLE ELECTRIC, LLC",,LLC,No,No,,3364 Lockport Rd.,,Oakfield,NY,14125,5853431023,01/27/2025,01/27/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.25484 43.09669)
24-6488H-CR,"Able Rigging Contractors, LLC",,LLC,No,No,,1050 Grand Blvd,,Deer Park,NY,11729,5164204444,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,Yes,No,No,Yes,No,POINT (-73.29567 40.76061)
24-63H6N-CR,"ABM AIR CONDITIONING & HEATING, INC.",,Corporation,No,No,,PO BOX 204,,HAWTHORNE,NY,10532,9147470910,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64N71-CR,A B MANIAR & SON LLC,,LLC,No,No,,82 FAIRVIEW AVE,,MILFORD,NJ,08848,7324919951,12/17/2024,12/29/2026,Active,No,Out of State,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.08329 40.56709)
24-64NON-CR,"ABM ELECTRIC, INC.",,Corporation,Yes,No,,"27-14, 39 avenue",,Long Island City,NY,11101,7183922122,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.93561 40.75413)
25-64KXP-CR,"ABM HAULING OF WNY, INC.",,Corporation,No,No,,50 Maple st,,Frewsburg,NY,14738,7164894767,01/04/2025,01/04/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-79.16707 42.0572)
