naic_cd,naics_code_description,Keep?
45299,All Other General Merchandise Stores,
33399,All Other General Purpose Machinery Manufacturing,
111199,All Other Grain Farming,
446199,All Other Health and Personal Care Stores,
23499,All Other Heavy Construction,Y
442299,All Other Home Furnishings Stores,
333298,All Other Industrial Machinery Manufacturing,
51919,All Other Information Services,
524298,All Other Insurance Related Activities,
316999,All Other Leather Good and Allied Product Manufacturing,
541199,All Other Legal Services,
212299,All Other Metal Ore Mining,
621999,All Other Miscellaneous Ambulatory Health Care Services,
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,
111998,All Other Miscellaneous Crop Farming,
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
311999,All Other Miscellaneous Food Manufacturing,
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,
339999,All Other Miscellaneous Manufacturing,
33999,All Other Miscellaneous Manufacturing,
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,
611699,All Other Miscellaneous Schools and Instruction,
45399,All Other Miscellaneous Store Retailers,
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),
314999,All Other Miscellaneous Textile Product Mills,
562998,All Other Miscellaneous Waste Management Services,
321999,All Other Miscellaneous Wood Product Manufacturing,
441229,All Other Motor Vehicle Dealers,
336399,All Other Motor Vehicle Parts Manufacturing,
522298,All Other Nondepository Credit Intermediation,
212399,All Other Nonmetallic Mineral Mining,
32799,All Other Nonmetallic Mineral Product Manufacturing,
621498,All Other Outpatient Care Centers,
81299,All Other Personal Services,
324199,All Other Petroleum and Coal Products Manufacturing,
48699,All Other Pipeline Transportation,
326199,All Other Plastics Product Manufacturing,
54199,"All Other Professional, Scientific, and Technical Services",
511199,All Other Publishers,
326299,All Other Rubber Product Manufacturing,
61169,All Other Schools and Instruction,
23599,All Other Special Trade Contractors,Y
445299,All Other Specialty Food Stores,
23899,All Other Specialty Trade Contractors,Y
488999,All Other Support Activities for Transportation,
56199,All Other Support Services,
517919,All Other Telecommunications,
31499,All Other Textile Product Mills,
485999,All Other Transit and Ground Passenger Transportation,
336999,All Other Transportation Equipment Manufacturing,
561599,All Other Travel Arrangement and Reservation Services,
721199,All Other Traveler Accommodation,
56299,All Other Waste Management Services,
32199,All Other Wood Product Manufacturing,
331311,Alumina Refining,
3313,Alumina and Aluminum Production and Processing,
33131,Alumina and Aluminum Production and Processing,
331521,Aluminum Die-Casting Foundries,
331316,Aluminum Extruded Product Manufacturing,
331524,Aluminum Foundries (except Die-Casting),
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",
62191,Ambulance Services,
92115,American Indian and Alaska Native Tribal Governments,
332993,Ammunition (except Small Arms) Manufacturing,
71312,Amusement Arcades,
7131,Amusement Parks and Arcades,
71311,Amusement and Theme Parks,
334516,Analytical Laboratory Instrument Manufacturing,
311611,Animal (except Poultry) Slaughtering,
31111,Animal Food Manufacturing,
31161,Animal Slaughtering and Processing,
3116,Animal Slaughtering and Processing,
212113,Anthracite Mining,
11291,Apiculture,
3159,Apparel Accessories and Other Apparel Manufacturing,
31599,Apparel Accessories and Other Apparel Manufacturing,
3151,Apparel Knitting Mills,
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",
111331,Apple Orchards,
811412,Appliance Repair and Maintenance,
44311,"Appliance, Television, and Other Electronics Stores",
611513,Apprenticeship Training,
11251,Aquaculture,
1125,Aquaculture,
54131,Architectural Services,
3323,Architectural and Structural Metals Manufacturing,
5413,"Architectural, Engineering, and Related Services",
561613,Armored Car Services,
45392,Art Dealers,
32522,Artificial and Synthetic Fibers and Filaments Manufacturing,
324121,Asphalt Paving Mixture and Block Manufacturing,
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",
324122,Asphalt Shingle and Coating Materials Manufacturing,
33431,Audio and Video Equipment Manufacturing,
3343,Audio and Video Equipment Manufacturing,
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",
333311,Automatic Vending Machine Manufacturing,
4411,Automobile Dealers,
611692,Automobile Driving Schools,
336111,Automobile Manufacturing,
33611,Automobile and Light Duty Motor Vehicle Manufacturing,
42311,Automobile and Other Motor Vehicle Merchant Wholesalers,
81112,"Automotive Body, Paint, Interior, and Glass Repair",
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",
5321,Automotive Equipment Rental and Leasing,
811112,Automotive Exhaust System Repair,
811122,Automotive Glass Replacement Shops,
81111,Automotive Mechanical and Electrical Repair and Maintenance,
811191,Automotive Oil Change and Lubrication Shops,
44131,Automotive Parts and Accessories Stores,
4413,"Automotive Parts, Accessories, and Tire Stores",
8111,Automotive Repair and Maintenance,
811113,Automotive Transmission Repair,
445291,Baked Goods Stores,
3118,Bakeries and Tortilla Manufacturing,
332991,Ball and Roller Bearing Manufacturing,
812111,Barber Shops,
334412,Bare Printed Circuit Board Manufacturing,
3251,Basic Chemical Manufacturing,
33591,Battery Manufacturing,
812112,Beauty Salons,
721191,Bed-and-Breakfast Inns,
112111,Beef Cattle Ranching and Farming,
11211,"Beef Cattle Ranching and Farming, including Feedlots",
42481,Beer and Ale Merchant Wholesalers,
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",
4453,"Beer, Wine, and Liquor Stores",
44531,"Beer, Wine, and Liquor Stores",
311313,Beet Sugar Manufacturing,
111334,Berry (except Strawberry) Farming,
3121,Beverage Manufacturing,
325414,Biological Product (except Diagnostic) Manufacturing,
212112,Bituminous Coal Underground Mining,
212111,Bituminous Coal and Lignite Surface Mining,
323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",
33792,Blind and Shade Manufacturing,
621991,Blood and Organ Banks,
336612,Boat Building,
441222,Boat Dealers,
3324,"Boiler, Tank, and Shipping Container Manufacturing",
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",
51113,Book Publishers,
451211,Book Stores,
45121,Book Stores and News Dealers,
4512,"Book, Periodical, and Music Stores",
42492,"Book, Periodical, and Newspaper Merchant Wholesalers",
323117,Books Printing,
312112,Bottled Water Manufacturing,
71395,Bowling Centers,
31181,Bread and Bakery Product Manufacturing,
31123,Breakfast Cereal Manufacturing,
31212,Breweries,
327121,Brick and Structural Clay Tile Manufacturing,
42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers",
313311,Broadwoven Fabric Finishing Mills,
31321,Broadwoven Fabric Mills,
11232,Broilers and Other Meat Type Chicken Production,
339994,"Broom, Brush, and Mop Manufacturing",
2382,Building Equipment Contractors,Y
2383,Building Finishing Contractors,Y
54135,Building Inspection Services,
4441,Building Material and Supplies Dealers,
339995,Burial Casket Manufacturing,
485113,Bus and Other Motor Vehicle Transit Systems,
81391,Business Associations,
6114,Business Schools and Computer and Management Training,
56143,Business Service Centers,
5614,Business Support Services,
61141,Business and Secretarial Schools,
42511,Business to Business Electronic Markets,
8139,"Business, Professional, Labor, Political, and Similar Organizations",
51751,Cable and Other Program Distribution,
5175,Cable and Other Program Distribution,
51521,Cable and Other Subscription Programming,
5152,Cable and Other Subscription Programming,
722212,"Cafeterias, Grill Buffets, and Buffets",
44313,Camera and Photographic Supplies Stores,
311312,Cane Sugar Refining,
314912,Canvas and Related Product Mills,
811192,Car Washes,
325182,Carbon Black Manufacturing,
339944,Carbon Paper and Inked Ribbon Manufacturing,
335991,Carbon and Graphite Product Manufacturing,
336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing",
23551,Carpentry Contractors,Y
31411,Carpet and Rug Mills,
56174,Carpet and Upholstery Cleaning Services,
72112,Casino Hotels,
71321,Casinos (except Casino Hotels),
72232,Caterers,
112112,Cattle Feedlots,
1121,Cattle Ranching and Farming,
517212,Cellular and Other Wireless Telecommunications,
325221,Cellulosic Organic Fiber Manufacturing,
32731,Cement Manufacturing,
3273,Cement and Concrete Product Manufacturing,
81222,Cemeteries and Crematories,
327122,Ceramic Wall and Floor Tile Manufacturing,
4855,Charter Bus Industry,
48551,Charter Bus Industry,
311513,Cheese Manufacturing,
11231,Chicken Egg Production,
62441,Child Day Care Services,
6244,Child Day Care Services,
62411,Child and Youth Services,
44813,Children's and Infants' Clothing Stores,
31132,Chocolate and Confectionery Manufacturing from Cacao Beans,
312221,Cigarette Manufacturing,
11132,Citrus (except Orange) Groves,
81341,Civic and Social Organizations,
8134,Civic and Social Organizations,
524291,Claims Adjusting,
32712,Clay Building Material and Refractories Manufacturing,
3271,Clay Product and Refractory Manufacturing,
327124,Clay Refractory Manufacturing,
212325,Clay and Ceramic and Refractory Minerals Mining,
44815,Clothing Accessories Stores,
4481,Clothing Stores,
21211,Coal Mining,
2121,Coal Mining,
42352,Coal and Other Mineral and Ore Merchant Wholesalers,
483114,Coastal and Great Lakes Passenger Transportation,
322223,Coated Paper Bag and Pouch Manufacturing,
322221,Coated and Laminated Packaging Paper Manufacturing,
322222,Coated and Laminated Paper Manufacturing,
3328,"Coating, Engraving, Heat Treating, and Allied Activities",
33281,"Coating, Engraving, Heat Treating, and Allied Activities",
31192,Coffee and Tea Manufacturing,
81231,Coin-Operated Laundries and Drycleaners,
56144,Collection Agencies,
61131,"Colleges, Universities, and Professional Schools",
6113,"Colleges, Universities, and Professional Schools",
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",
311812,Commercial Bakeries,
52211,Commercial Banking,
323112,Commercial Flexographic Printing,
323111,Commercial Gravure Printing,
333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing",
32311,Commercial Lithographic Printing,
541922,Commercial Photography,
323113,Commercial Screen Printing,
81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,
23332,Commercial and Institutional Building Construction,Y
23622,Commercial and Institutional Building Construction,Y
33331,Commercial and Service Industry Machinery Manufacturing,
3333,Commercial and Service Industry Machinery Manufacturing,
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",
52314,Commodity Contracts Brokerage,
52313,Commodity Contracts Dealing,
811213,Communication Equipment Repair and Maintenance,
33592,Communication and Energy Wire and Cable Manufacturing,
3342,Communications Equipment Manufacturing,
6233,Community Care Facilities for the Elderly,
62331,Community Care Facilities for the Elderly,
62421,Community Food Services,
6242,"Community Food and Housing, and Emergency and Other Relief Services",
62422,Community Housing Services,
485112,Commuter Rail Systems,
541513,Computer Facilities Management Services,
334112,Computer Storage Device Manufacturing,
541512,Computer Systems Design Services,
54151,Computer Systems Design and Related Services,
5415,Computer Systems Design and Related Services,
334113,Computer Terminal Manufacturing,
61142,Computer Training,
42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,
811212,Computer and Office Machine Repair and Maintenance,
3341,Computer and Peripheral Equipment Manufacturing,
33411,Computer and Peripheral Equipment Manufacturing,
44312,Computer and Software Stores,
327331,Concrete Block and Brick Manufacturing,
327332,Concrete Pipe Manufacturing,
32733,"Concrete Pipe, Brick, and Block Manufacturing",
31133,Confectionery Manufacturing from Purchased Chocolate,
42445,Confectionery Merchant Wholesalers,
445292,Confectionery and Nut Stores,
33312,Construction Machinery Manufacturing,
212321,Construction Sand and Gravel Mining,
42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",
53241,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing",
811211,Consumer Electronics Repair and Maintenance,
53221,Consumer Electronics and Appliances Rental,
5322,Consumer Goods Rental,
522291,Consumer Lending,
623311,Continuing Care Retirement Communities,
44512,Convenience Stores,
56192,Convention and Trade Show Organizers,
561591,Convention and Visitors Bureaus,
3222,Converted Paper Product Manufacturing,
333922,Conveyor and Conveying Equipment Manufacturing,
311821,Cookie and Cracker Manufacturing,
31182,"Cookie, Cracker, and Pasta Manufacturing",
212234,Copper Ore and Nickel Ore Mining,
33142,"Copper Rolling, Drawing, Extruding, and Alloying",
331421,"Copper Rolling, Drawing, and Extruding",
331422,Copper Wire (except Mechanical) Drawing,
21223,"Copper, Nickel, Lead, and Zinc Mining",
11115,Corn Farming,
551114,"Corporate, Subsidiary, and Regional Managing Offices",
92214,Correctional Institutions,
322211,Corrugated and Solid Fiber Box Manufacturing,
44612,"Cosmetics, Beauty Supplies, and Perfume Stores",
611511,Cosmetology and Barber Schools,
339914,Costume Jewelry and Novelty Manufacturing,
11192,Cotton Farming,
115111,Cotton Ginning,
4921,Couriers and Express Delivery Services,
49211,Couriers and Express Delivery Services,
561492,Court Reporting and Stenotype Services,
92211,Courts,
311512,Creamery Butter Manufacturing,
56145,Credit Bureaus,
52221,Credit Card Issuing,
52213,Credit Unions,
115113,"Crop Harvesting, Primarily by Machine",
211111,Crude Petroleum and Natural Gas Extraction,
212313,Crushed and Broken Granite Mining and Quarrying,
212312,Crushed and Broken Limestone Mining and Quarrying,
335931,Current-Carrying Wiring Device Manufacturing,
314121,Curtain and Drapery Mills,
31412,Curtain and Linen Mills,
337212,Custom Architectural Woodwork and Millwork Manufacturing,
325991,Custom Compounding of Purchased Resins,
541511,Custom Computer Programming Services,
332114,Custom Roll Forming,
321912,"Cut Stock, Resawing Lumber, and Planing",
327991,Cut Stone and Stone Product Manufacturing,
31521,Cut and Sew Apparel Contractors,
3152,Cut and Sew Apparel Manufacturing,
332211,Cutlery and Flatware (except Precious) Manufacturing,
33221,Cutlery and Handtool Manufacturing,
3322,Cutlery and Handtool Manufacturing,
333515,Cutting Tool and Machine Tool Accessory Manufacturing,
11212,Dairy Cattle and Milk Production,
42443,Dairy Product (except Dried or Canned) Merchant Wholesalers,
42243,Dairy Product (except Dried or Canned) Wholesalers,
31151,Dairy Product (except Frozen) Manufacturing,
3115,Dairy Product Manufacturing,
71112,Dance Companies,
51821,"Data Processing, Hosting, and Related Services",
5182,"Data Processing, Hosting, and Related Services",
8122,Death Care Services,
483111,Deep Sea Freight Transportation,
483112,Deep Sea Passenger Transportation,
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",
48311,"Deep Sea, Coastal, and Great Lakes Water Transportation",
339114,Dental Equipment and Supplies Manufacturing,
339116,Dental Laboratories,
4521,Department Stores,
45211,Department Stores,
452111,Department Stores (except Discount Department Stores),
5221,Depository Credit Intermediation,
621512,Diagnostic Imaging Centers,
322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing,
812191,Diet and Weight Reducing Centers,
323115,Digital Printing,
212311,Dimension Stone Mining and Quarrying,
524114,Direct Health and Medical Insurance Carriers,
52412,"Direct Insurance (except Life, Health, and Medical) Carriers",
524113,Direct Life Insurance Carriers,
52411,"Direct Life, Health, and Medical Insurance Carriers",
54186,Direct Mail Advertising,
524126,Direct Property and Casualty Insurance Carriers,
4543,Direct Selling Establishments,
524127,Direct Title Insurance Carriers,
51114,Directory and Mailing List Publishers,
452112,Discount Department Stores,
54185,Display Advertising,
31214,Distilleries,
56141,Document Preparation Services,
311111,Dog and Cat Food Manufacturing,
339931,Doll and Stuffed Toy Manufacturing,
33993,"Doll, Toy, and Game Manufacturing",
54134,Drafting Services,
311423,Dried and Dehydrated Food Manufacturing,
213111,Drilling Oil and Gas Wells,
72241,Drinking Places (Alcoholic Beverages),
7224,Drinking Places (Alcoholic Beverages),
512132,Drive-In Motion Picture Theaters,
42421,Drugs and Druggists' Sundries Merchant Wholesalers,
311823,Dry Pasta Manufacturing,
11113,Dry Pea and Bean Farming,
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",
8123,Drycleaning and Laundry Services,
81232,Drycleaning and Laundry Services (except Coin-Operated),
23831,Drywall and Insulation Contractors,Y
23542,"Drywall, Plastering, Acoustical and Insulation Contractors",Y
11213,Dual-Purpose Cattle Ranching and Farming,
6117,Educational Support Services,
61171,Educational Support Services,
221121,Electric Bulk Power Transmission and Control,
335211,Electric Housewares and Household Fan Manufacturing,
33511,Electric Lamp Bulb and Part Manufacturing,
3351,Electric Lighting Equipment Manufacturing,
221122,Electric Power Distribution,
22111,Electric Power Generation,
2211,"Electric Power Generation, Transmission and Distribution",
22112,"Electric Power Transmission, Control, and Distribution",
42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",
23531,Electrical Contractors,Y
23821,Electrical Contractors and Other Wiring Installation Contractors,Y
3353,Electrical Equipment Manufacturing,
33531,Electrical Equipment Manufacturing,
42362,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",
4236,Electrical and Electronic Goods Merchant Wholesalers,
33451,Electromedical and Electrotherapeutic Apparatus Manufacturing,
331112,Electrometallurgical Ferroalloy Product Manufacturing,
454112,Electronic Auctions,
334414,Electronic Capacitor Manufacturing,
334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing",
334111,Electronic Computer Manufacturing,
334417,Electronic Connector Manufacturing,
454111,Electronic Shopping,
45411,Electronic Shopping and Mail-Order Houses,
4541,Electronic Shopping and Mail-Order Houses,
8112,Electronic and Precision Equipment Repair and Maintenance,
81121,Electronic and Precision Equipment Repair and Maintenance,
4431,Electronics and Appliance Stores,
443,Electronics and Appliance Stores,
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",
61111,Elementary and Secondary Schools,
6111,Elementary and Secondary Schools,
333921,Elevator and Moving Stairway Manufacturing,
62423,Emergency and Other Relief Services,
56131,Employment Placement Agencies,
561311,Employment Placement Agencies,
56131,Employment Placement Agencies and Executive Search Services,
5613,Employment Services,
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",
33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing",
321213,Engineered Wood Member (except Truss) Manufacturing,
54133,Engineering Services,
322232,Envelope Manufacturing,
813312,"Environment, Conservation and Wildlife Organizations",
54162,Environmental Consulting Services,
325193,Ethyl Alcohol Manufacturing,
611691,Exam Preparation and Tutoring,
23593,Excavation Contractors,Y
92111,Executive Offices,
561312,Executive Search Services,
92114,"Executive and Legislative Offices, Combined",
9211,"Executive, Legislative, and Other General Government Support",
32592,Explosives Manufacturing,
56171,Exterminating and Pest Control Services,
31332,Fabric Coating Mills,
3132,Fabric Mills,
332996,Fabricated Pipe and Pipe Fitting Manufacturing,
332312,Fabricated Structural Metal Manufacturing,
56121,Facilities Support Services,
5612,Facilities Support Services,
44814,Family Clothing Stores,
62141,Family Planning Centers,
115115,Farm Labor Contractors and Crew Leaders,
333111,Farm Machinery and Equipment Manufacturing,
115116,Farm Management Services,
4245,Farm Product Raw Material Merchant Wholesalers,
49313,Farm Product Warehousing and Storage,
42491,Farm Supplies Merchant Wholesalers,
42382,Farm and Garden Machinery and Equipment Merchant Wholesalers,
339993,"Fastener, Button, Needle, and Pin Manufacturing",
311225,Fats and Oils Refining and Blending,
33151,Ferrous Metal Foundries,
325314,Fertilizer (Mixing Only) Manufacturing,
32531,Fertilizer Manufacturing,
322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",
335921,Fiber Optic Cable Manufacturing,
3131,"Fiber, Yarn, and Thread Mills",
31311,"Fiber, Yarn, and Thread Mills",
52232,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",
61161,Fine Arts Schools,
112511,Finfish Farming and Fish Hatcheries,
114111,Finfish Fishing,
23835,Finish Carpentry Contractors,Y
92216,Fire Protection,
44522,Fish and Seafood Markets,
42446,Fish and Seafood Merchant Wholesalers,
1141,Fishing,
11411,Fishing,
71394,Fitness and Recreational Sports Centers,
327211,Flat Glass Manufacturing,
31193,Flavoring Syrup and Concentrate Manufacturing,
611512,Flight Training,
44221,Floor Covering Stores,
23833,Flooring Contractors,Y
111422,Floriculture Production,
45311,Florists,
4531,Florists,
311211,Flour Milling,
31121,Flour Milling and Malt Manufacturing,
311822,Flour Mixes and Dough Manufacturing from Purchased Flour,
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",
311511,Fluid Milk Manufacturing,
333995,Fluid Power Cylinder and Actuator Manufacturing,
333996,Fluid Power Pump and Motor Manufacturing,
332912,Fluid Power Valve and Hose Fitting Manufacturing,
322212,Folding Paperboard Box Manufacturing,
446191,Food (Health) Supplement Stores,
11141,Food Crops Grown Under Cover,
333294,Food Product Machinery Manufacturing,
72231,Food Service Contractors,
31621,Footwear Manufacturing,
42434,Footwear Merchant Wholesalers,
81143,Footwear and Leather Goods Repair,
11321,Forest Nurseries and Gathering of Forest Products,
1132,Forest Nurseries and Gathering of Forest Products,
3321,Forging and Stamping,
33211,Forging and Stamping,
53222,Formal Wear and Costume Rental,
221112,Fossil Fuel Electric Power Generation,
2381,"Foundation, Structure, and Building Exterior Contractors",Y
3315,Foundries,
23813,Framing Contractors,Y
621493,Freestanding Ambulatory Surgical and Emergency Centers,
4885,Freight Transportation Arrangement,
48851,Freight Transportation Arrangement,
42448,Fresh Fruit and Vegetable Merchant Wholesalers,
311712,Fresh and Frozen Seafood Processing,
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",
31141,Frozen Food Manufacturing,
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",
311412,Frozen Specialty Food Manufacturing,
111336,Fruit and Tree Nut Combination Farming,
1113,Fruit and Tree Nut Farming,
311421,Fruit and Vegetable Canning,
31142,"Fruit and Vegetable Canning, Pickling, and Drying",
44523,Fruit and Vegetable Markets,
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,
45431,Fuel Dealers,
7221,Full-Service Restaurants,
72211,Full-Service Restaurants,
81221,Funeral Homes and Funeral Services,
315292,Fur and Leather Apparel Manufacturing,
11293,Fur-Bearing Animal and Rabbit Production,
42321,Furniture Merchant Wholesalers,
44211,Furniture Stores,
4421,Furniture Stores,
4232,Furniture and Home Furnishing Merchant Wholesalers,
7132,Gambling Industries,
339932,"Game, Toy, and Children's Vehicle Manufacturing",
339991,"Gasket, Packing, and Sealing Device Manufacturing",
336312,Gasoline Engine and Engine Parts Manufacturing,
4471,Gasoline Stations,
44711,Gasoline Stations with Convenience Stores,
811111,General Automotive Repair,
4841,General Freight Trucking,
48411,"General Freight Trucking, Local",
48412,"General Freight Trucking, Long-Distance",
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",
484121,"General Freight Trucking, Long-Distance, Truckload",
42441,General Line Grocery Merchant Wholesalers,
42241,General Line Grocery Wholesalers,
62211,General Medical and Surgical Hospitals,
6221,General Medical and Surgical Hospitals,
452,General Merchandise Stores,
53231,General Rental Centers,
5323,General Rental Centers,
49311,General Warehousing and Storage,
54136,Geophysical Surveying and Mapping Services,
45322,"Gift, Novelty, and Souvenir Stores",
327213,Glass Container Manufacturing,
327215,Glass Product Manufacturing Made of Purchased Glass,
32721,Glass and Glass Product Manufacturing,
3272,Glass and Glass Product Manufacturing,
23815,Glass and Glazing Contractors,Y
315992,Glove and Mitten Manufacturing,
11242,Goat Farming,
212221,Gold Ore Mining,
21222,Gold Ore and Silver Ore Mining,
71391,Golf Courses and Country Clubs,
42451,Grain and Field Bean Merchant Wholesalers,
3112,Grain and Oilseed Milling,
813211,Grantmaking Foundations,
81321,Grantmaking and Giving Services,
8132,Grantmaking and Giving Services,
111332,Grape Vineyards,
54143,Graphic Design Services,
1114,"Greenhouse, Nursery, and Floriculture Production",
511191,Greeting Card Publishers,
4451,Grocery Stores,
4244,Grocery and Related Product Merchant Wholesalers,
327992,Ground or Treated Mineral and Earth Manufacturing,
336414,Guided Missile and Space Vehicle Manufacturing,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
32742,Gypsum Product Manufacturing,
621491,HMO Medical Centers,
81211,"Hair, Nail, and Skin Care Services",
332212,Hand and Edge Tool Manufacturing,
33251,Hardware Manufacturing,
42371,Hardware Merchant Wholesalers,
44413,Hardware Stores,
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",
4217,"Hardware, and Plumbing and Heating Equipment and Supplies Wholesalers",
321211,Hardwood Veneer and Plywood Manufacturing,
315991,"Hat, Cap, and Millinery Manufacturing",
11194,Hay Farming,
562112,Hazardous Waste Collection,
562211,Hazardous Waste Treatment and Disposal,
62,Health Care and Social Assistance,
4461,Health and Personal Care Stores,
52512,Health and Welfare Funds,
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,
454311,Heating Oil Dealers,
33612,Heavy Duty Truck Manufacturing,
23731,"Highway, Street, and Bridge Construction",Y
2373,"Highway, Street, and Bridge Construction",Y
71212,Historical Sites,
45112,"Hobby, Toy, and Game Stores",
11221,Hog and Pig Farming,
1122,Hog and Pig Farming,
44411,Home Centers,
42322,Home Furnishing Merchant Wholesalers,
4422,Home Furnishings Stores,
62161,Home Health Care Services,
6216,Home Health Care Services,
532291,Home Health Equipment Rental,
811411,Home and Garden Equipment Repair and Maintenance,
81141,Home and Garden Equipment and Appliance Repair and Maintenance,
623312,Homes for the Elderly,
11292,Horses and Other Equine Production,
31511,Hosiery and Sock Mills,
72111,Hotels (except Casino Hotels) and Motels,
3352,Household Appliance Manufacturing,
443111,Household Appliance Stores,
335221,Household Cooking Appliance Manufacturing,
337125,Household Furniture (except Wood and Metal) Manufacturing,
335224,Household Laundry Equipment Manufacturing,
335222,Household Refrigerator and Home Freezer Manufacturing,
335212,Household Vacuum Cleaner Manufacturing,
33712,Household and Institutional Furniture Manufacturing,
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,
541612,Human Resources Consulting Services,
813311,Human Rights Organizations,
