Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Woman Owned Business,Sub Emerging Business
MMA180620256200076,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ - JOC General Construction @Various Developments,15000000.0,15000000.0,0.0,4/12/2024,4/11/2027,Yes,No ,Housing Preservation and Development,1015644603.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200046,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Green Infrastructure Construction Pkg 2 @ Various- BK & QX,9848583.9,9848583.9,0.0,5/1/2024,5/1/2026,Yes,No ,Housing Preservation and Development,1015618525.0,REQUIREMENTS-CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200016,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ (JOC) Enviro Hazard Remediation @ Various - Citywide,4747623.66,4747623.66,0.0,1/21/2024,1/20/2025,Yes,No ,Housing Preservation and Development,1015605284.0,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256200001,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,For Green Infrastructure Construction @Various Dev in BK,10480880.9,10480880.9,0.0,5/1/2024,5/1/2026,Yes,No ,Housing Preservation and Development,1015602410.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256000030,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Contract For Roof work at Various Developments,10000000.0,10000000.0,0.0,5/1/2024,5/1/2027,Yes,No ,Housing Preservation and Development,1015600040.0,CONSTRUCTION,REQUEST FOR  PROPOSAL (RFP),,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA180620256000015,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,IDIQ Job Order Contract (JOC) for Hazardous Material,1699586.27,1699586.27,0.0,2/8/2024,2/7/2025,Yes,No ,Housing Preservation and Development,1015588510.0,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA107120258802791,no,Prime Vendor,RICHARDS PLUMBING AND HEATING CO INC,Non-M/WBE,RENEWAL FOR ON-CALL PLUMBING SERVICES AT VARIOUS DHS SHELTER,7776318.91,7776318.91,0.0,2/1/2024,1/31/2027,No ,No ,Department of Homeless Services,1015840560.0,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720258803823,no,Prime Vendor,HIGH POINT CONSTRUCTION GROUP CORP,Asian American,The Fire Department of the City of New York seeks the servic,8443200.0,8443200.0,0.0,2/1/2025,1/31/2030,No ,No ,Fire Department,,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720258802802,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The Fire Department of the City of New York seeks the servic,9037750.0,9037750.0,0.0,2/1/2025,1/31/2030,No ,No ,Fire Department,1015898989.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248805474,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9455750.0,9455750.0,0.0,3/4/2024,3/3/2029,No ,No ,Fire Department,1015099079.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248805471,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9155750.0,9155750.0,14167.85,3/4/2024,3/3/2029,No ,No ,Fire Department,1015111086.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248805470,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,The FDNY seeks the services of a qualified General Contracto,9245000.0,9245000.0,0.0,3/4/2024,3/3/2029,No ,No ,Fire Department,1015108858.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248804543,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10170000.0,10170000.0,0.0,1/1/2024,12/31/2028,No ,No ,Fire Department,1014965103.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248804449,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,"HVAC and refrigeration preventative maintenance, repair and",10038000.0,10038000.0,0.0,1/1/2024,12/31/2028,No ,No ,Fire Department,1014951214.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248804351,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,8530400.0,8530400.0,0.0,1/1/2024,12/31/2028,No ,No ,Fire Department,1014906278.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248804325,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,10170000.0,10170000.0,0.0,1/1/2024,12/31/2028,No ,No ,Fire Department,1014929876.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
MMA105720248804248,no,Prime Vendor,CRESCENT CONTRACTING CORP.,Non-M/WBE,The Fire Department of New York City seeks to contract with,8769100.0,8769100.0,0.0,1/1/2024,12/31/2028,No ,No ,Fire Department,1014881817.0,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA185020248809334,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),"Tech Dsgn Svcs for Brooklyn Children's Museum HVAC Upgrade,",0.0,0.0,0.0,7/15/2024,12/19/2027,Yes,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,INTERSTATE CONTRACTING CO INC,Hispanic American,Interior Probes and Repairs,No Subcontract Payments Submitted,Construction Services,19000.0,19000.0,0.0,7/15/2024,12/19/2027,No ,No 
CTA185020248809334,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),"Tech Dsgn Svcs for Brooklyn Children's Museum HVAC Upgrade,",0.0,0.0,0.0,7/15/2024,12/19/2027,Yes,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,DELTA WELL & PUMP CO INC,Women (Non-Minority),Geothermal Flow testing,No Subcontract Payments Submitted,Construction Services,20000.0,20000.0,0.0,8/6/2024,12/19/2027,Yes,No 
CTA185020248807176,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),TO#003A- Tech Dsgn Svcs for Stone Ave Library Multi-Sys Upg,0.0,0.0,0.0,6/3/2024,11/3/2026,Yes,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,CH CO INC,Asian American,Construction Probes,No Subcontract Payments Submitted,Construction Services,20000.0,20000.0,0.0,6/3/2024,11/3/2026,No ,No 
CTA185020248807176,yes,Sub Vendor,BREITNER CIACCIA OFFICE OF THE ARCHITECTURE,Women (Non-Minority),TO#003A- Tech Dsgn Svcs for Stone Ave Library Multi-Sys Upg,0.0,0.0,0.0,6/3/2024,11/3/2026,Yes,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,INTERSTATE CONTRACTING CO INC,Hispanic American,Exterior / Interior probes,No Subcontract Payments Submitted,Construction Services,15000.0,15000.0,0.0,6/3/2024,11/3/2026,No ,No 
CTA185020248807013,yes,Sub Vendor,EPIC MANAGEMENT OF NEW YORK LLC,Non-M/WBE,Consulting Services,0.0,0.0,0.0,5/1/2024,8/7/2024,No ,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,PROF SERV ENGINEER & ARCHITECT,ELLANA INC,Women (Non-Minority),Estimating,No Subcontract Payments Submitted,Construction Services,8858.17,8858.17,0.0,5/1/2024,5/30/2024,Yes,No 
CTA185020248804857,yes,Sub Vendor,"AI Engineers, Inc.",Asian American,Prel& Final Dsgn Svcs for Non-Standard Ped Ramps,0.0,0.0,0.0,2/28/2024,2/16/2026,No ,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,"NASCO CONSTRUCTION SERVICES, INC.",Women (Non-Minority),Cost Estimating,No Subcontract Payments Submitted,Construction Services,132000.0,132000.0,0.0,2/28/2024,2/16/2026,Yes,No 
CTA185020247203856,yes,Sub Vendor,ZIE-ENOVATE JV,Non-M/WBE,Construction Management Services,0.0,0.0,0.0,1/8/2024,12/31/2024,No ,No ,Department of Design and Construction,,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,PROF SERV ENGINEER & ARCHITECT,Zircon Group Inc,Asian American,Test pits,No Subcontract Payments Submitted,Construction Services,35000.0,35000.0,0.0,1/8/2024,10/3/2024,No ,No 
CTA184620258801231,no,Prime Vendor,FRIENDS OF THE HIGH LINE INC,Non-M/WBE,High Line Reconstruction,1849997.0,1849997.0,424797.0,7/1/2024,7/1/2025,No ,No ,Department of Parks and Recreation,1015642781.0,CONSTRUCTION,MULTIPLE AWARDS,IOTB CONSTRUCTION,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,ARCHITECTURAL PRESERVATION STUDIO DPC,Women (Non-Minority),Design Consultant,No Subcontract Payments Submitted,Construction Services,258700.0,258700.0,0.0,12/3/2024,6/3/2026,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,JLC ENVIROMENTAL CONSULTANTS INC,Women (Non-Minority),Environmental Engineering,No Subcontract Payments Submitted,Construction Services,11880.0,11880.0,0.0,12/3/2024,6/3/2028,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,LANGAN ENG ENV SURVEYING & LANDSCAPE ARCHITECTURE  DPC,Non-M/WBE,Tree Inventory,ACCO Reviewing Subcontract,Construction Services,6050.0,6050.0,0.0,12/3/2024,6/3/2028,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,QUALITY RESTORATION WORK LLC,Non-M/WBE,Probes,ACCO Reviewing Subcontract,Construction Services,31625.0,31625.0,0.0,12/3/2024,6/3/2028,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,"JABLONSKI BUILDING CONSERVATION, INC.",Women (Non-Minority),Material analysis,No Subcontract Payments Submitted,Construction Services,18365.0,18365.0,0.0,12/3/2024,6/3/2028,Yes,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,METROPOLIS GROUP INC,Non-M/WBE,Expeditor,ACCO Reviewing Subcontract,Construction Services,6400.0,6400.0,0.0,12/3/2024,6/3/2028,No ,No 
CTA184620257202176,yes,Sub Vendor,HISTORIC HOUSE TRUST OF NYC,Non-M/WBE,Design Services - R006-123M - Conference House Recon,0.0,0.0,0.0,12/3/2024,6/3/2028,No ,No ,Department of Parks and Recreation,,CONSULTANT,MULTIPLE AWARDS,DESIGN-CONSULTANT-BUILDINGS,ARCHITECTURAL PRESERVATION STUDIO DPC,Women (Non-Minority),Design Consultant,ACCO Reviewing Subcontract,Construction Services,258720.0,258720.0,0.0,12/3/2024,6/3/2028,Yes,No 
CTA184120257200331,yes,Prime Vendor,"TREVCON CONSTRUCTION COMPANY, LLC",Non-M/WBE,Slip 1 Upper Bridge Rope Replacement W/O #5,660338.8,660338.8,90090.0,7/22/2024,6/12/2025,No ,No ,Department of Transportation,1015665903.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,No ,No 
CTA184120257200331,yes,Sub Vendor,"TREVCON CONSTRUCTION COMPANY, LLC",Non-M/WBE,Slip 1 Upper Bridge Rope Replacement W/O #5,0.0,0.0,0.0,7/22/2024,6/12/2025,No ,No ,Department of Transportation,,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,ACME INDUSTRIAL INC.,Non-M/WBE,Replacement & repair of lift bridge wire ropes,ACCO Reviewing Subcontract,Construction Services,429000.0,429000.0,0.0,9/15/2024,6/12/2025,No ,No 
CTA184120247208221,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,Weigh-In-Motion (WIM): BQE Corridor-WB/SB-Adams St.,4891282.8,4891282.8,3962937.81,7/2/2024,1/2/2025,No ,No ,Department of Transportation,1015753330.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,"IOTB CONSTRUCTION, PROF SERV COMPUTER SERVICES",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA184120247207696,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,W &W:-Structural Minor Rehab-BQE Atlantic Ave. &Sands,140000.0,140000.0,119861.99,4/8/2024,4/28/2024,No ,No ,Department of Transportation,1015753265.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA182620247205761,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,10175814.48,10175814.48,4228210.85,4/4/2024,2/3/2029,No ,No ,Department of Environmental Protection,1015173483.0,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA182620247205418,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,1037437.11,1037437.11,0.0,3/5/2024,5/27/2029,No ,No ,Department of Environmental Protection,1015121666.0,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA182620247205417,no,Prime Vendor,NEW YORK POWER AUTHORITY,Non-M/WBE,Engine & Main Substation  Replacement,8397677.78,8397677.78,0.0,3/5/2024,3/1/2030,No ,No ,Department of Environmental Protection,1015121554.0,CONSTRUCTION,MULTIPLE AWARDS,DESIGN-CONSULTANT-IOTB,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257203527,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Interior Compactors Replacement at Nostrand Houses,1520990.63,1520990.63,0.0,11/9/2024,5/29/2026,Yes,No ,Housing Preservation and Development,1016312190.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CAPITAL PURCHASED EQUIPMENT,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257203526,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,ACM and Lead Abatement work for Roofing Replacement,25531.63,25531.63,0.0,4/2/2024,4/2/2025,Yes,No ,Housing Preservation and Development,1016311097.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257202688,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Roofing Replacement @Douglass Addition,47190.3,47190.3,0.0,2/1/2024,1/4/2025,Yes,No ,Housing Preservation and Development,1016165619.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257202401,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Masonry Work for Roofing Replacement @ Teller Avenue,220548.57,220548.57,0.0,3/18/2024,9/14/2024,Yes,No ,Housing Preservation and Development,1016067368.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257201967,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Interior Compactor Environmental/Electrical at Nostrand Hses,2497.95,2497.95,0.0,9/24/2024,4/26/2026,Yes,No ,Housing Preservation and Development,1015962158.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CAPITAL PURCHASED EQUIPMENT,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257201892,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal and Replacement of Vinyl Asbestos Floor Tiles,1611500.0,1611500.0,0.0,8/14/2024,8/13/2027,Yes,No ,Housing Preservation and Development,1015945223.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
CTA180620257201891,no,Prime Vendor,NEW YORK CITY HOUSING AUTHORITY,Non-M/WBE,Removal and Replacement of Vinyl Asbestos Floor Tiles,1611500.0,1611500.0,0.0,8/14/2024,8/13/2027,Yes,No ,Housing Preservation and Development,1015945217.0,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable
